|speaker_gender|listener_gender|en_text|pl_text|cot|cot_few_shot
15|kobieta|kobieta|I fixed the car, did you manage to fix your bike?|Naprawiłam samochód, czy udało ci się naprawić rower?|Naprawiłam samochód, czy poradziła sobie pani z naprawą roweru?|Naprawiłam samochód, a czy udało ci się naprawić twój rower?
16|mężczyzna|kobieta|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłaś swoją?|Przeczytałem całą książkę, pani, czy Pani już skończyła swoją?|Czytałem całą książkę, a ty skończyłaś swoją?
17|kobieta|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłeś swoją?|Przeczytałam całą książkę, proszę pana, czy skończył pan czytać swoją?|Przeczytałam całą książkę, czy skończyłeś czytać swoją?
18|mężczyzna|mężczyzna|I read the whole book, did you finish reading yours?|Przeczytałem całą książkę, czy skończyłeś swoją?|Przeczytałem całą książkę, czy skończyłeś czytać swoją?|Przeczytałem już całą książkę, a ty? Skończyłeś swoją?
19|kobieta|kobieta|I read the whole book, did you finish reading yours?|Przeczytałam całą książkę, czy skończyłaś swoją?|Przeczytałam całą książkę, proszę pani, czy skończyła pani czytać swoją?|Przeczytałam już całą książkę, a ty? Jak ci idzie?
20|mężczyzna|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłaś napoje?|Czy pani przyniosła napoje? Ja ugotowałem kolację.|Ugotowałem kolację, czy przyniosłaś napoje?
21|kobieta|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłeś napoje?|Przygotowałam kolację, czy przyniosłeś napoje?|Ugotowałam kolację, czy przyniosłeś napoje?
22|mężczyzna|mężczyzna|I cooked dinner, did you bring the drinks?|Ugotowałem obiad, czy przyniosłeś napoje?|Przygotowałem kolację, czy przyniosłeś coś do picia?|Ugotowałem kolację, stary, a ty przyniosłeś coś do picia?
23|kobieta|kobieta|I cooked dinner, did you bring the drinks?|Ugotowałam obiad, czy przyniosłaś napoje?|Proszę pani, gotowałam kolację, czy mogłaby pani przynieść napoje?|Ugotowałam kolację, czy mogłabyś przynieść napoje?
24|mężczyzna|kobieta|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?|Obejrzałem ten film wczoraj wieczorem. Czy ci się podobał?|Obejrzałem ten film wczoraj wieczorem, podobało ci się?
25|kobieta|mężczyzna|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?|Oglądałam ten film wczoraj wieczorem, czy ci się podobał?|Czy pan/pani widział/widziała ten film wczoraj wieczorem? Mi się bardzo podobał.
26|mężczyzna|mężczyzna|I watched that movie last night, did you like it?|Obejrzałem ten film wczoraj wieczorem, spodobał ci się?|Widziałem ten film wczoraj wieczorem, jak ci się podobał?|Oglądałem ten film wczoraj wieczorem, jak ci się podobał?
27|kobieta|kobieta|I watched that movie last night, did you like it?|Obejrzałam ten film wczoraj wieczorem, spodobał ci się?|Oglądałam ten film wczoraj wieczorem, czy ci się podobał?|Czy widziałaś ten film wczoraj wieczorem? Czy ci się podobał?
28|mężczyzna|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłaś śmieci?|Posprzątałem kuchnię, czy ty wyniosłaś śmieci?|Posprzątałem kuchnię, czy ty wyniosłaś śmieci?
29|kobieta|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłeś śmieci?|Posprzątałam kuchnię, czy ty wyniosłeś śmieci?|Posprzątałam kuchnię, czy wyniosłeś śmieci?
30|mężczyzna|mężczyzna|I cleaned the kitchen, did you take out the trash?|Posprzątałem kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?|Posprzątałem kuchnię, czy wyniosłeś śmieci?
31|kobieta|kobieta|I cleaned the kitchen, did you take out the trash?|Posprzątałam kuchnię, czy wyniosłaś śmieci?|Posprzątałam kuchnię, czy ty wyniosłaś śmieci?|Posprzątałam kuchnię, czy mogłabyś wyrzucić śmieci?
32|mężczyzna|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałaś zarezerwować hotel?|Kupiłem bilety, czy zarezerwowałaś już hotel?|Kupiłem bilety, chciałem się upewnić, czy pamiętałaś o zarezerwowaniu hotelu.
33|kobieta|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałeś zarezerwować hotel?|Kupiłam bilety, proszę, czy pamiętałeś zarezerwować hotel?|Kupiłam bilety, czy pamiętałeś o rezerwacji hotelu?
34|mężczyzna|mężczyzna|I bought the tickets, did you remember to book the hotel?|Kupiłem bilety, czy pamiętałeś zarezerwować hotel?|Kupiłem bilety, czy pamiętałeś zarezerwować hotel?|Załatwiłem bilety, czy pamiętałeś o hotelu?
35|kobieta|kobieta|I bought the tickets, did you remember to book the hotel?|Kupiłam bilety, czy pamiętałaś zarezerwować hotel?|Kupiłam bilety, czy zarezerwowałaś już hotel?|Czy pamiętała Pani o zarezerwowaniu hotelu? Ja już kupiłam bilety.
36|mężczyzna|kobieta|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłaś swój portfel?|Znalazłem klucze, czy znalazłaś swój portfel?|Znalazłem klucze, a ty znalazłaś swój portfel?
37|kobieta|mężczyzna|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłeś swój portfel?|Znalazłam klucze, czy ty znalazłeś swój portfel?|Znalazłam twoje klucze, a ty znalazłeś swój portfel?
38|mężczyzna|mężczyzna|I found the keys, did you find your wallet?|Znalazłem klucze, czy znalazłeś swój portfel?|Czy pan znalazł swój portfel? Ja znalazłem klucze.|Znalazłem klucze, a ty znalazłeś swój portfel?
39|kobieta|kobieta|I found the keys, did you find your wallet?|Znalazłam klucze, czy znalazłaś swój portfel?|Znalazłam klucze, czy ty znalazłaś swój portfel?|Znalazłam klucze, proszę pani, czy może pani znalazła swój portfel?
40|mężczyzna|kobieta|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłaś do klienta?|Wysłałem e-mail. Czy ty zadzwoniłaś do klienta?|Czy mogłaby pani potwierdzić, że wysłałem e-mail i czy zadzwoniła pani do klienta?
41|kobieta|mężczyzna|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłeś do klienta?|Wysłałam e-mail, czy ty dzwoniłeś do klienta?|Wysłałam email do klienta, proszę pana, czy pan już do niego zadzwonił?
42|mężczyzna|mężczyzna|I sent the email, did you call the client?|Wysłałem maila, czy zadzwoniłeś do klienta?|Wysłałem e-mail, czy ty zadzwoniłeś do klienta?|Czy wysłałem e-mail, czy zadzwoniłeś do klienta?
43|kobieta|kobieta|I sent the email, did you call the client?|Wysłałam maila, czy zadzwoniłaś do klienta?|Wysłałam e-mail, czy dzwoniłaś do klienta?|Proszę Pani
44|mężczyzna|kobieta|I finished the report, did you complete the presentation?|Skończyłem raport, czy ukończyłaś prezentację?|Skończyłem raport, czy ty skończyłaś prezentację?|Skoczyłem pracę nad raportem, czy skończyłaś prezentację?
45|kobieta|mężczyzna|I finished the report, did you complete the presentation?|Skończyłam raport, czy ukończyłeś prezentację?|Skończyłam raport, czy ty skończyłeś prezentację?|Skończyłam raport, czy pan również skończył prezentację?
46|mężczyzna|mężczyzna|I finished the report, did you complete the presentation?|Skończyłem raport, czy ukończyłeś prezentację?|Skończyłem raport, czy skończyłeś prezentację?|Panie Marku, skończyłem raport. Czy udało się Panu zakończyć prezentację?
47|kobieta|kobieta|I finished the report, did you complete the presentation?|Skończyłam raport, czy ukończyłaś prezentację?|Skończyłam raport, czy skończyłaś prezentację?|Czy mogłabyś mi powiedzieć, czy skończyłaś już prezentację? Ja właśnie skończyłam raport.
48|mężczyzna|kobieta|I repaired the sink, did you fix the door?|Naprawiłem zlew, czy naprawiłaś drzwi?|Naprawiłem zlew, a ty naprawiłaś drzwi?|Czy naprawiłaś drzwi?
49|kobieta|mężczyzna|I repaired the sink, did you fix the door?|Naprawiłam zlew, czy naprawiłeś drzwi?|Naprawiłam zlew, czy ty naprawiłeś drzwi?|Czy naprawiłeś drzwi, skoro ja naprawiłam zlew?
50|mężczyzna|mężczyzna|I repaired the sink, did you fix the door?|Naprawiłem zlew, czy naprawiłeś drzwi?|Czy naprawiłeś drzwi? Ja naprawiłem kran.|Naprawiłem zlew, a ty nie naprawiłeś drzwi?
51|kobieta|kobieta|I repaired the sink, did you fix the door?|Naprawiłam zlew, czy naprawiłaś drzwi?|Naprawiłam zlew, czy naprawiłaś drzwi?|Czy naprawiłaś już te drzwi?
52|mężczyzna|kobieta|I wrote the letter, did you send it?|Napisałem list, czy go wysłałaś?|Napisałem list, czy ty go wysłałaś?|Napisałem list, czy mogłabyś go wysłać?
53|kobieta|mężczyzna|I wrote the letter, did you send it?|Napisałam list, czy go wysłałeś?|Czy pan wysłał ten list, który napisałam?|Napisałam ten list, czy mógłbyś go wysłać?
54|mężczyzna|mężczyzna|I wrote the letter, did you send it?|Napisałem list, czy go wysłałeś?|Czy wysłałeś ten list, który napisałem?|Napisałem ten list, panie Janie, czy byłby pan tak uprzejmy i wysłał go za mnie?
55|kobieta|kobieta|I wrote the letter, did you send it?|Napisałam list, czy go wysłałaś?|Napisałam list, czy ty go wysłałaś?|Czy mogłaby pani potwierdzić, że wysłała pani ten list, który napisałam?
56|mężczyzna|kobieta|I repaired my laptop, did you back up your files?|Naprawiłem laptopa, czy zrobiłaś kopię zapasową plików?|Naprawiłem mój laptop. Czy ty zrobiłeś/aś kopię zapasową swoich plików?|Naprawiłem swój laptop, a ty zrobiłaś kopię zapasową swoich plików?
57|kobieta|mężczyzna|I repaired my laptop, did you back up your files?|Naprawiłam laptopa, czy zrobiłeś kopię zapasową plików?|Naprawiłam swój laptop. Czy zrobiłeś kopię zapasową swoich plików?|Proszę pana, naprawiłam swój laptop. Czy zrobił pan kopię zapasową swoich plików?
58|mężczyzna|mężczyzna|I repaired my laptop, did you back up your files?|Naprawiłem laptopa, czy zrobiłeś kopię zapasową plików?|Naprawiłem swój laptop. Czy zrobiłeś kopię zapasową swoich plików?|Naprawiłem swój laptop, panie Marku, czy pomyślał pan może o zrobieniu kopii zapasowej swoich ważnych plików?
59|kobieta|kobieta|I repaired my laptop, did you back up your files?|Naprawiłam laptopa, czy zrobiłaś kopię zapasową plików?|Naprawiłam mój laptop, czy zrobiłaś kopię zapasową swoich plików?|Naprawiłam mój laptop, a ty zrobiłaś kopię zapasową swoich plików, prawda?
60|mężczyzna|kobieta|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałem wczoraj dokumenty, o które prosiłaś, ale nadal mi nie odpisałaś, czy mogłabyś sprawdzić swoją skrzynkę?|Wysłałem Ci dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałem Ci dokumenty, o które prosiłaś wczoraj, ale nadal nie odpisałaś. Czy mogłabyś sprawdzić swoją skrzynkę pocztową?
61|kobieta|mężczyzna|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałam wczoraj dokumenty, o które prosiłeś, ale nadal mi nie odpisałeś, czy mógłbyś sprawdzić swoją skrzynkę?|Wysłałam dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Czy mógłbyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam Ci dokumenty, o które prosiłeś wczoraj, ale nadal nie odpisałeś. Czy mógłbyś sprawdzić swoją skrzynkę odbiorczą?
62|mężczyzna|mężczyzna|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałem wczoraj dokumenty, o które prosiłeś, ale nadal mi nie odpisałeś, czy mógłbyś sprawdzić swoją skrzynkę?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś. Czy mógłbyś proszę sprawdzić swoją skrzynkę odbiorczą?|Wysłałem dokumenty, o które prosiłeś wczoraj, ale nadal nie odpowiedziałeś, czy mógłbyś sprawdzić swoją skrzynkę odbiorczą?
63|kobieta|kobieta|I sent the documents you asked for yesterday, but you still haven't replied, could you please check your inbox?|Wysłałam wczoraj dokumenty, o które prosiłaś, ale nadal mi nie odpisałaś, czy mogłabyś sprawdzić swoją skrzynkę?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?|Wysłałam dokumenty, o które prosiłaś wczoraj, ale nadal nie odpowiedziałaś. Czy mogłabyś sprawdzić swoją skrzynkę odbiorczą?
64|mężczyzna|kobieta|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałem całą noc przygotowując prezentację, bo obiecałaś, że mi pomożesz — dlaczego się nie pojawiłaś?|Nie spałem całą noc, przygotowując prezentację, bo obiecałaś mi pomóc. Dlaczego się nie pojawiłaś?|Nie spałem całą noc przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?
65|kobieta|mężczyzna|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałam całą noc przygotowując prezentację, bo obiecałeś, że mi pomożesz — dlaczego się nie pojawiłeś?|Nie spałam całą noc, przygotowując prezentację, bo obiecałeś mi pomóc, dlaczego więc nie przyszedłeś?|Przygotowałam prezentację przez całą noc, bo obiecałeś mi pomóc, dlaczego się nie pokazałeś?
66|mężczyzna|mężczyzna|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałem całą noc przygotowując prezentację, bo obiecałeś, że mi pomożesz — dlaczego się nie pojawiłeś?|Nie spałem całą noc, przygotowując prezentację, bo obiecałeś mi pomóc. Dlaczego się nie pojawiłeś?|Całą noc spędziłem na przygotowywaniu prezentacji, bo obiecałeś mi pomóc, dlaczego się nie pojawiłeś?
67|kobieta|kobieta|I stayed up all night preparing the presentation because you promised to help me, why didn't you show up?|Siedziałam całą noc przygotowując prezentację, bo obiecałaś, że mi pomożesz — dlaczego się nie pojawiłaś?|Nie spałam całą noc, przygotowując prezentację, bo obiecałaś mi pomóc. Dlaczego nie przyszłaś?|Nie spałam całą noc przygotowując prezentację, bo obiecałaś mi pomóc, dlaczego się nie pojawiłaś?
68|mężczyzna|kobieta|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłem wszystko na przyjęcie i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłem wszystko na imprezę i udekorowałem pokój. Czy udało Ci się zaprosić wszystkich naszych znajomych?|Zrobiłem zakupy i udekorowałem pokój na imprezę, czy udało Ci się zaprosić wszystkich naszych znajomych?
69|kobieta|mężczyzna|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłam wszystko na przyjęcie i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Czy udało Ci się zaprosić wszystkich naszych przyjaciół? Ja kupiłam wszystko na imprezę i przygotowałam pokój.|Kupiłam wszystko i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych znajomych?
70|mężczyzna|mężczyzna|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłem wszystko na przyjęcie i udekorowałem pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Kupiłem wszystko na imprezę i udekorowałem pokój, udało ci się zaprosić wszystkich naszych znajomych?|Czy byłeś w stanie zaprosić wszystkich naszych przyjaciół? Kupiłem wszystko na imprezę i udekorowałem pokój.
71|kobieta|kobieta|I bought everything for the party and decorated the room, were you able to invite all our friends?|Kupiłam wszystko na przyjęcie i udekorowałam pokój, czy udało ci się zaprosić wszystkich naszych przyjaciół?|Zrobiłam zakupy i udekorowałam pokój na imprezę, czy udało ci się zaprosić wszystkich naszych znajomych?|Kupiłam wszystko na imprezę i pięknie udekorowałam pokój. Mam nadzieję, że udało ci się zaprosić wszystkich naszych znajomych!
72|mężczyzna|kobieta|I cleaned the kitchen, did you at least take out the trash?|Posprzątałem kuchnię, wyniosłaś chociaż śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś/wyniosłaś śmieci?|Posprzątałem kuchnię, czy mogłabyś chociaż wynieść śmieci?
73|kobieta|mężczyzna|I cleaned the kitchen, did you at least take out the trash?|Posprzątałam kuchnię, wyniosłeś chociaż śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłeś śmieci?|Posprzątałam kuchnię, czy chociaż wyniosłeś śmieci?
74|mężczyzna|mężczyzna|I cleaned the kitchen, did you at least take out the trash?|Posprzątałem kuchnię, wyniosłeś chociaż śmieci?|Sprzątnąłem kuchnię, czy chociaż wyjąłeś śmieci?|Posprzątałem kuchnię, czy chociaż wyniosłeś śmieci?
75|kobieta|kobieta|I cleaned the kitchen, did you at least take out the trash?|Posprzątałam kuchnię, wyniosłaś chociaż śmieci?|Sprzątnęłam kuchnię, czy chociaż wyjęłaś śmieci?|Posprzątałam kuchnię, czy mogłabyś chociaż wynieść śmieci?
76|mężczyzna|kobieta|I told you not to forget the tickets, did you bring them or not?|Mówiłem ci, żebyś nie zapomniała biletów — masz je czy nie?|Mówiłem ci, żebyś nie zapomniała o biletach. Przyniosłaś je, prawda?|Czy przyniosłaś te bilety, o których mówiłem, żebyś nie zapomniała?
77|kobieta|mężczyzna|I told you not to forget the tickets, did you bring them or not?|Mówiłam ci, żebyś nie zapomniał biletów — masz je czy nie?|Powiedziałam ci, żebyś nie zapomniał biletów. Czy przyniosłeś je, czy nie?|Mówiłam ci, żebyś nie zapomniał o biletach, przyniosłeś je czy nie?
78|mężczyzna|mężczyzna|I told you not to forget the tickets, did you bring them or not?|Mówiłem ci, żebyś nie zapomniał biletów — masz je czy nie?|Mówiłem ci, żebyś nie zapomniał o biletach, prawda? Przyniosłeś je?|Czy przyniosłeś te bilety, o których mówiłem, żebyś nie zapomniał?
79|kobieta|kobieta|I told you not to forget the tickets, did you bring them or not?|Mówiłam ci, żebyś nie zapomniała biletów — masz je czy nie?|Mówiłam ci, żebyś nie zapomniała o biletach. Przyniosłaś je, prawda?|Powiedziałam ci, żebyś nie zapomniała o biletach. Przyniosłaś je, prawda?
80|mężczyzna|kobieta|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłem wszystkie zakupy, jak prosiłaś, ale zapomniałaś zrobić listę, prawda?|Kupiłem wszystkie zakupy spożywcze, jak prosiłaś, ale ty zapomniałaś zrobić listę, prawda?|Kupiłem wszystko, o co prosiłaś, ale zapomniała pani sporządzić listę, prawda?
81|kobieta|mężczyzna|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłam wszystkie zakupy, jak prosiłeś, ale zapomniałeś zrobić listę, prawda?|Kupiłam wszystkie zakupy spożywcze, jak prosiłeś, ale ty zapomniałeś zrobić listę, prawda?|Kupiłam wszystkie produkty spożywcze, tak jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?
82|mężczyzna|mężczyzna|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłem wszystkie zakupy, jak prosiłeś, ale zapomniałeś zrobić listę, prawda?|Kupiłem wszystkie artykuły spożywcze tak jak prosiłeś, ale zapomniałeś sporządzić listy, prawda?|Kupiłem wszystkie zakupy, jak prosiłeś, ale zapomniałeś sporządzić listę, prawda?
83|kobieta|kobieta|I bought all the groceries like you asked, but you forgot to make the list, didn't you?|Kupiłam wszystkie zakupy, jak prosiłaś, ale zapomniałaś zrobić listę, prawda?|Kupiłam wszystkie zakupy spożywcze, jak prosiłaś, ale zapomniałaś sporządzić listę, prawda?|Kupiłam wszystko, o co prosiłaś, ale zapomniałaś zrobić listę, co?
84|mężczyzna|kobieta|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|Wreszcie udało mi się naprawić problem z prysznicem, więc teraz już nie masz powodu do narzekania!|Proszę pani, wreszcie naprawiłem prysznic, więc teraz już nie ma powodu do narzekania!
85|kobieta|mężczyzna|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|Wreszcie udało mi się naprawić ten problem z prysznicem, więc teraz już nie masz powodu do narzekania.|Wreszcie naprawiłam prysznic, więc teraz już nie masz powodu do narzekania!
86|mężczyzna|mężczyzna|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłem prysznic, więc teraz już nie możesz narzekać!|Wreszcie udało mi się naprawić prysznic, więc teraz już nie możesz narzekać!|Wreszcie naprawiłem ten nieszczelny prysznic, więc teraz już nie masz powodu do narzekania!
87|kobieta|kobieta|I finally fixed the shower, so now you can't complain anymore!|W końcu naprawiłam prysznic, więc teraz już nie możesz narzekać!|Wreszcie naprawiłam prysznic, więc teraz nie możesz już narzekać!|Wreszcie naprawiłam prysznic, więc teraz już nie masz powodu do narzekań, kochana!
88|mężczyzna|kobieta|I called you three times this morning, why didn't you pick up?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałaś?|Dlaczego nie odbierałaś? Dzwoniłem do ciebie trzy razy rano.|Dlaczego nie odebrałaś, gdy dzwoniłem trzy razy rano?
89|kobieta|mężczyzna|I called you three times this morning, why didn't you pick up?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałeś?|Panie X, dzwoniłam do pana trzy razy dziś rano, dlaczego pan nie odebrał?|Dzwoniłam do ciebie trzy razy rano, dlaczego nie odebrałeś?
90|mężczyzna|mężczyzna|I called you three times this morning, why didn't you pick up?|Dzwoniłem do ciebie trzy razy rano, czemu nie odebrałeś?|Dzwoniłem do ciebie trzy razy rano, czemu nie odbierałeś?|Dzwoniłem do pana trzy razy rano, panie X, dlaczego pan nie odebrał?
91|kobieta|kobieta|I called you three times this morning, why didn't you pick up?|Dzwoniłam do ciebie trzy razy rano, czemu nie odebrałaś?|Dzwoniłam do ciebie trzy razy rano, czemu nie odbierałaś?|Dzwoniłam do Pani trzy razy rano, dlaczego Pani nie odebrała?
92|mężczyzna|kobieta|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłem dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winna tę kawę, pamiętasz?|Ukończyłem wszystkie moje zadania w pracy dzisiaj, ale nadal jesteś mi winna tę kawę, pamiętasz?|Wykonałem wszystkie moje zadania w pracy dzisiaj, Pani Aniu, ale nadal jesteś mi winna tę kawę, pamiętasz?
93|kobieta|mężczyzna|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłam dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winien tę kawę, pamiętasz?|Ukończyłam wszystkie moje zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, prawda?|Panie Marku, skończyłam już wszystkie zadania w pracy dzisiaj, a pan nadal jest mi winien tę kawę, którą obiecał pan postawić, pamięta pan?
94|mężczyzna|mężczyzna|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłem dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winien tę kawę, pamiętasz?|Wykonałem już wszystkie zadania w pracy dzisiaj, ale nadal jesteś mi winien tę kawę, pamiętasz?|Skarżyłem się panu, że skończyłem już wszystkie zadania w pracy dziś, a pan obiecał postawić mi kawę. Pamięta pan?
95|kobieta|kobieta|I finished all my tasks at work today, but you still owe me that coffee, remember?|Skończyłam dziś wszystkie zadania w pracy, a ty wciąż jesteś mi winna tę kawę, pamiętasz?|Skarbie, skończyłam już wszystkie moje zadania w pracy dzisiaj, ale nadal jesteś mi winna tę kawę, prawda?|Skarbie, skończyłam wszystkie moje zadania, ale nadal jesteś mi winna tę kawę, pamiętasz?
96|mężczyzna|kobieta|I cleaned the whole garage today, can you believe it?|Posprzątałem dziś cały garaż, możesz w to uwierzyć?|Sprzątnąłem dzisiaj cały garaż. Czy możesz uwierzyć?|Pani, sprzątnąłem dzisiaj cały garaż, naprawdę!
97|kobieta|mężczyzna|I cleaned the whole garage today, can you believe it?|Posprzątałam dziś cały garaż, możesz w to uwierzyć?|Czy pan uwierzy? Sprzątnęłam dziś cały garaż!|Posprzątałam cały garaż dzisiaj, czy możesz w to uwierzyć?
